FIT Profiler Report
Profile stats for: [LightningModule]DownsampleCVAE.configure_callbacks
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:123(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:55(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:71(stop)
        1    0.000    0.000    0.000    0.000 module.py:936(configure_callbacks)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



Profile stats for: [LightningDataModule]RobomimicImageDatamodule.prepare_data
         11775 function calls (11635 primitive calls) in 0.010 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 robomimic_replay_image_dataset.py:385(prepare_data)
        1    0.000    0.000    0.009    0.009 robomimic_replay_image_dataset.py:151(get_normalizer)
    64/32    0.000    0.000    0.007    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        4    0.000    0.000    0.007    0.002 normalize_util.py:216(array_to_stats)
       17    0.000    0.000    0.004    0.000 core.py:648(__getitem__)
       17    0.000    0.000    0.004    0.000 core.py:791(get_basic_selection)
       21    0.002    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       17    0.000    0.000    0.004    0.000 core.py:951(_get_basic_selection_nd)
       16    0.000    0.000    0.004    0.000 core.py:569(__array__)
       17    0.000    0.000    0.004    0.000 core.py:1219(_get_selection)
        9    0.000    0.000    0.003    0.000 fromnumeric.py:69(_wrapreduction)
       17    0.000    0.000    0.003    0.000 core.py:1906(_chunk_getitem)
1199/1131    0.000    0.000    0.003    0.000 {built-in method builtins.isinstance}
       44    0.000    0.000    0.002    0.000 compat.py:13(ensure_ndarray_like)
       44    0.000    0.000    0.002    0.000 ndarray_like.py:54(is_ndarray_like)
       44    0.000    0.000    0.002    0.000 typing.py:1141(__instancecheck__)
       39    0.000    0.000    0.002    0.000 compat.py:48(ensure_ndarray)
       12    0.000    0.000    0.002    0.000 {built-in method numpy.asanyarray}
        4    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(std)
        4    0.000    0.000    0.002    0.000 fromnumeric.py:3441(std)
        4    0.000    0.000    0.002    0.000 _methods.py:263(_std)
        4    0.000    0.000    0.002    0.000 _methods.py:196(_var)
        4    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(amin)
        4    0.000    0.000    0.002    0.000 fromnumeric.py:2802(amin)
        4    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(amax)
        4    0.000    0.000    0.002    0.000 fromnumeric.py:2677(amax)
      122    0.001    0.000    0.001    0.000 {built-in method builtins.all}
        4    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(mean)
        4    0.000    0.000    0.001    0.000 fromnumeric.py:3313(mean)
        4    0.000    0.000    0.001    0.000 _methods.py:163(_mean)
       17    0.000    0.000    0.001    0.000 core.py:1823(_process_chunk)
        1    0.000    0.000    0.001    0.001 robomimic_replay_image_dataset.py:139(get_validation_dataset)
        5    0.000    0.000    0.001    0.000 hierarchy.py:388(__getitem__)
        1    0.000    0.000    0.001    0.001 sampler.py:78(__init__)
        5    0.000    0.000    0.001    0.000 core.py:154(__init__)
        6    0.000    0.000    0.001    0.000 normalizer.py:129(create_manual)
